Bookmark,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,1,"2,761",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,2,"3,072",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,3,"5,577",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,4,0,Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,5,0,Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,6,"22,253",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,7,"55,397",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,8,"77,397",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,9,"58,395",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,10,"60,090",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,11,"10,451",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,12,"5,239",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2020,"300,632"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,1,"1,950",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,2,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,3,"2,600",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,4,"7,560",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,5,"5,788",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,6,"8,373",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,7,"15,608",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,8,"18,203",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,9,"15,478",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,10,"10,958",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,11,"2,750",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,12,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2020,"92,868"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,1,"2,376",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,2,"2,000",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,3,"6,926",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,4,"1,990",Amistad NRA,AMIS,National Recreation Area,Intermountain ,TRAFFIC COUNT AT BLACK BRUSH POINT,2020,"32,948"
