Visitation By State and by Park for Year: 2017,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2017.  This was the first year of available data for this report so the percent change from the previous year column is not displayed.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
State,Park,Recreation Visitors,Recreation Visitor Days,Non-recreation Visitors,Recreation Visitor Hours,,,Non-recreation Visitor Hours,"Concessioner
Lodging Overnights","Concessioner
Camping Overnights",Tent Overnights,Recreation Vehicle Overnights,"Back Country
Overnights",Non-recreation Overnights,Misc. Overnights
Alabama,,,,,,,,,,,,,,,
,Horseshoe Bend NMP,"74,255","15,009","1,014,144","180,109",,,"338,014",0,0,0,0,0,0,0
,Little River Canyon NPRES,"367,058","80,380",0,"964,562",,,0,0,0,0,0,0,0,0
,Natchez Trace PKWY,"442,825","148,659","613,012","1,783,918",,,"613,012",0,0,0,0,0,0,0
,Russell Cave NM,"24,377","3,243",0,"38,927",,,0,0,0,0,0,0,0,0
,Tuskegee Airmen NHS,"39,322","4,915",0,"58,982",,,0,0,0,0,0,0,0,0
,Tuskegee Institute NHS,"20,407","3,155",0,"37,865",,,0,0,0,0,0,0,0,0
,Subtotal Alabama,"968,244","255,361","1,627,156","3,064,363",,,"951,026",0,0,0,0,0,0,0
Alaska,,,,,,,,,,,,,,,
,Aniakchak NM & PRES,100,470,0,"5,640",,,0,0,0,0,0,235,0,0
,Bering Land Bridge NPRES,"2,642",660,"1,128","7,926",,,"9,024",0,0,0,0,"1,123",360,0
,Cape Krusenstern NM,"15,000","3,116","7,500","37,400",,,"60,000",0,0,0,0,"6,375","5,525",0
,Denali NP & PRES,"642,809","703,810","793,286","8,445,731",,,"198,321",0,"27,248",0,0,"32,887",0,0
,Gates of the Arctic NP & PRES,"11,177","13,144",0,"157,731",,,0,0,0,0,0,"6,355",0,0
,Glacier Bay NP & PRES,"547,057","588,541",381,"7,062,494",,,"97,380","12,352",0,901,0,"5,986","4,030","13,267"
,Katmai NP & PRES,"37,818","19,440",0,"233,289",,,0,"4,216",0,"2,098",0,483,0,0
,Kenai Fjords NP,"303,598","80,588",0,"967,057",,,0,0,0,"1,176",0,674,0,0
,Klondike Gold Rush NHP Alaska,"906,485","308,836",0,"3,706,040",,,0,0,0,"2,649",0,"5,637",0,0
,Kobuk Valley NP,"15,500","4,241","7,750","50,900",,,"62,000",0,0,0,0,"7,050","7,100",0
,Lake Clark NP & PRES,"22,755","16,988",0,"203,866",,,0,0,0,0,0,"7,198",0,0
,Noatak NPRES,"17,000","17,916","8,500","215,000",,,"68,000",0,0,0,0,"5,500","5,650",0
,Sitka NHP,"194,880","9,876",0,"118,514",,,0,0,0,0,0,0,0,0
,Wrangell-St. Elias NP & PRES,"68,292","261,787",0,"3,141,451",,,0,0,0,0,0,0,0,0
,Yukon-Charley Rivers NPRES,952,"4,398",0,"52,784",,,0,0,0,0,0,"2,120",295,0
,Subtotal Alaska,"2,786,065","2,033,811","818,545","24,405,823",,,"494,725","16,568","27,248","6,824",0,"81,623","22,960","13,267"
American Samoa,,,,,,,,,,,,,,,
,National Park of American Samoa,"69,468","11,577",0,"138,934",,,0,0,0,0,0,0,0,0
,Subtotal American Samoa,"69,468","11,577",0,"138,934",,,0,0,0,0,0,0,0,0
Arizona,,,,,,,,,,,,,,,
,Canyon de Chelly NM,"825,660","442,813","1,213,974","5,313,761",,,"2,427,949","19,216","10,058",0,0,709,0,0
