,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2020 and displays the percent change from the previous year.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Park,Recreation Visitors,Percent Change,Recreation Visitor Days,Percent Change,,,Non-recreation Visitors,Percent Change,Recreation Visitor Hours,Percent Change,Non-recreation Visitor Hours,Percent Change,"Concessioner
Lodging Overnights",Percent Change,"Concessioner
Camping Overnights",Percent Change,Tent Overnights,Percent Change,Recreation Vehicle Overnights,Percent Change,"Back Country
Overnights",Percent Change,Non-recreation Overnights,Percent Change,Misc. Overnights,Percent Change
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horseshoe Bend NMP,"28,600",-36.97%,"8,788",-25.20%,,,0,,"105,461",-25.20%,0,,0,,0,,0,,0,,0,,0,,0,
,Little River Canyon NPRES,"802,375",23.44%,"168,827",27.60%,,,0,,"2,025,934",27.60%,0,,0,,0,,0,,0,,0,,0,,0,
,Natchez Trace PKWY,"428,736",-2.72%,"143,413",-3.01%,,,"583,028",-9.08%,"1,720,966",-3.01%,"583,028",-9.08%,0,,0,,0,,0,,0,,0,,0,
,Russell Cave NM,"8,462",-49.15%,"1,074",-55.36%,,,0,,"12,894",-55.35%,0,,0,,0,,0,,0,,0,,0,,0,
,Tuskegee Airmen NHS,"6,843",-77.26%,855,-77.27%,,,0,,"10,264",-77.26%,0,,0,,0,,0,,0,,0,,0,,0,
,Tuskegee Institute NHS,"4,737",-86.98%,533,-88.30%,,,0,,"6,401",-88.29%,0,,0,,0,,0,,0,,0,,0,,0,
,Subtotal Alabama,"1,279,753",4.97%,"323,490",6.89%,,,"583,028",,"3,881,920",6.89%,"583,028",,0,,0,,0,,0,,0,,0,,0,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aniakchak NM & PRES,36,-64.00%,430,-6.52%,,,0,,"5,168",-6.38%,0,,0,,0,,0,,0,,211,-8.26%,0,,0,
,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",340.30%,,,"1,128",0.00%,"34,878",340.05%,"20,592",128.19%,0,,0,,0,,0,,"1,123",0.00%,482,,0,0.00%
,Cape Krusenstern NM,"11,369",-29.93%,"12,224",220.08%,,,"7,035",-9.81%,"146,695",220.10%,"171,840",175.38%,0,,0,,0,,0,,"4,703",-26.80%,"4,815",,0,-18.73%
,Denali NP & PRES,"54,850",-90.88%,"77,921",-85.91%,,,"556,019",-29.42%,"935,054",-85.91%,"139,003",-29.42%,0,,"12,831",-51.36%,0,,0,,"5,332",-79.66%,0,,0,
,Gates of the Arctic NP & PRES,"2,872",-72.69%,"2,279",-73.28%,,,0,,"27,355",-73.28%,0,,0,,0,,0,,0,,"1,086",-73.24%,0,,0,
,Glacier Bay NP & PRES,"5,748",-99.14%,"19,668",-97.24%,,,203,-58.49%,"236,016",-97.24%,"48,200",-31.82%,0,-100.00%,0,,94,-87.37%,0,,989,-76.51%,"1,990",-44.14%,"8,345",-29.93%
,Katmai NP & PRES,"51,511",-38.80%,"45,291",111.69%,,,700,,"543,503",111.69%,"13,280",,654,-84.68%,0,,0,-100.00%,0,,"20,298",4331.88%,480,,70,
,Kenai Fjords NP,"115,882",-67.50%,"28,269",-71.15%,,,0,,"339,234",-71.15%,0,,0,,0,,0,-100.00%,0,,122,-78.45%,0,,0,
