Title,Bookmark
Annual Visitation by Park Type or Region for: 2019 By Park Type,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20by%20Park%20Type%20or%20Region%20(1979%20-%20Last%20Calendar%20Year)

Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
International Historic Site,Saint Croix Island IHS,"11,613",0,"14,516",0,0,0,0,0,0,0,0,International Historic Site Total,"11,613",0,"14,516",0,0,0,0,0,0,0,0,"327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Antietam NB,"287,343",0,"608,565",0,0,0,0,0,0,0,422,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Big Hole NB,"45,861",0,"65,928",0,0,0,0,0,0,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Cowpens NB,"223,413",0,"191,350",0,0,0,0,0,0,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Fort Donelson NB,"254,431","540,993","169,523","17,854",0,0,0,0,0,0,3,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Fort Necessity NB,"312,104",120,"444,176",48,0,0,0,0,0,0,579,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Monocacy NB,"144,969",90,"304,549",250,0,0,0,0,0,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Moores Creek NB,"77,006",0,"52,846",0,0,0,0,0,262,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Petersburg NB,"235,691","357,761","252,973","89,440",0,0,0,0,0,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
National Battlefield,Stones River NB,"284,516","1,440","397,830",240,0,0,0,0,0,0,0,National Battlefield Total,"2,098,172","900,404","2,953,417","107,832",0,0,0,0,262,0,"1,004","327,516,619","169,448,640","1,429,969,885","92,910,278","3,227,317","1,264,154","3,503,369","2,466,682","1,948,831","34,600","1,415,120"
