Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2019,1,"8,532",600,"56,311",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,2,"9,154",600,"60,414",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,3,"20,161",600,"133,064",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,4,"68,046",600,"394,023",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,5,"226,156","7,500","1,670,692","7,500",0,4,"10,416","3,327",0,0,"1,012",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,6,"490,720","7,500","3,731,975","7,500",0,102,"23,721","10,383",263,0,"1,851",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,7,"756,439","7,500","5,049,909","7,500",0,117,"36,135","11,853",357,0,"3,222",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,8,"759,735","7,500","5,159,613","7,500",0,242,"39,093","11,637",396,0,"3,806",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,9,"603,273","7,500","3,807,421","7,500",0,500,"22,425","15,174",185,0,"1,393",Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,10,"436,194","6,000","2,778,987","6,000",0,125,"9,195","5,322",83,0,390,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,11,"46,011",600,"276,064",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,12,"12,865",600,"77,191",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100","23,195,664","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,1,"21,499",0,"66,975",0,0,0,48,55,0,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,2,"30,239",0,"90,766",0,0,0,0,0,2,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,3,"132,191",0,"432,543",0,0,0,578,451,64,0,406,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,4,"168,788",0,"610,290",0,0,0,"1,612","2,130",46,0,542,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,5,"217,474",0,"763,628",0,0,0,"1,720","2,271",64,0,579,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,6,"225,206",0,"792,881",0,0,0,"2,754","1,828",59,0,245,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,7,"208,993",0,"753,288",0,0,0,"2,916","1,855",23,0,469,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,8,"184,890",0,"652,632",0,0,0,"2,025","1,704",47,0,306,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,9,"207,857",0,"729,850",0,0,0,"2,128","1,650",28,0,623,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,10,"149,764",0,"589,552",0,0,0,"2,340","2,371",45,0,"1,088",Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,11,"73,420",0,"297,890",0,0,0,"1,121","1,745",25,0,344,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Arches NP,ARCH,National Park,Intermountain ,UT,2019,12,"39,381",0,"132,524",0,0,0,281,230,2,0,86,Arches NP,ARCH,National Park,Intermountain ,UT,2019,"1,659,702",0,"5,912,819",0,0,0,"17,523","16,290",405,0,"4,688"
Badlands NP,BADL,National Park,Midwest ,SD,2019,1,"8,981","2,066","35,049","2,066",0,0,0,0,2,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,2,"8,059","1,976","31,431","1,976",0,0,0,0,0,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,3,"16,517","2,486","64,646","2,486",0,8,7,2,2,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,4,"25,083","3,070","102,577","3,070",107,155,56,12,66,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,5,"71,885","6,280","314,923","6,280",813,"1,306",277,77,408,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,6,"201,516","7,780","869,840","7,780","1,375","4,118",755,166,580,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,7,"250,898","8,230","1,086,274","8,230","1,642","5,740",868,221,510,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,8,"207,743","8,530","905,202","8,530","1,401","4,865","1,014",181,456,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,9,"118,262","6,806","516,805","6,806","1,003","2,707",398,196,328,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,10,"37,727","4,030","170,714","4,030",751,911,107,67,129,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,11,"15,450","2,530","60,555","2,530",0,8,5,7,5,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2019,12,"8,877","2,200","34,777","2,200",0,2,3,1,7,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2019,"970,998","55,984","4,192,793","27,992","7,092","19,820","3,490",930,"2,493",0,0
